a52dec 0.7.4-8
lame 3.99.5-2
laptop-detect 0.13.7-4
laptop-mode-tools 1.64-1
lcms2 2.5-2
ldb 1.1.16-1
ldns 1.6.16-1
less 458-1
lib32-alsa-lib 1.0.27.2-1
lib32-bzip2 1.0.6-1
lib32-dbus 1.6.16-1
lib32-elfutils 0.156-1
lib32-expat 2.1.0-1
lib32-fontconfig 2.11.0-1
lib32-freetype2 2.5.0.1-1
lib32-gcc-libs 4.8.2-3
lib32-glib2 2.38.1-1
lib32-glibc 2.18-8
lib32-lcms2 2.5-1
lib32-libdrm 2.4.47-1
lib32-libffi 3.0.13-1
lib32-libgcrypt 1.5.3-1
lib32-libgpg-error 1.12-1
lib32-libice 1.0.8-1
lib32-libjpeg-turbo 1.3.0-3
lib32-libmng 2.0.2-1
lib32-libpciaccess 0.13.2-1
lib32-libpng 1.6.6-1
lib32-libsm 1.2.2-1
lib32-libtiff 4.0.3-2
lib32-libx11 1.6.2-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.9.1-1
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-1
lib32-libxdmcp 1.1.1-1
lib32-libxext 1.3.2-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.2-1
lib32-libxrandr 1.4.2-1
lib32-libxrender 0.9.8-1
lib32-libxss 1.2.2-1
lib32-libxv 1.0.10-1
lib32-libxxf86vm 1.1.3-1
lib32-llvm-libs 3.3-1
lib32-mesa 9.2.2-1
lib32-mesa-libgl 9.2.2-1
lib32-openssl 1.0.1.e-2
lib32-pcre 8.33-1
lib32-qt4 4.8.5-3
lib32-sqlite 3.8.1-1
lib32-systemd 208-1
lib32-util-linux 2.23.2-1
lib32-v4l-utils 1.0.0-2
lib32-xz 5.0.5-1
lib32-zlib 1.2.8-1
libaio 0.3.109-7
libarchive 3.1.2-4
libass 0.10.2-1
libassuan 2.1.1-1
libasyncns 0.8-5
libatasmart 0.19-2
libavc1394 0.5.4-2
libbluray 0.3.0-1
libbsd 0.6.0-2
libburn 1.3.2-1
libcaca 0.99.beta18-2
libcap 2.22-5
libcap-ng 0.7.3-1
libcdaudio 0.99.12-7
libcddb 1.3.2-4
libcdio 0.90-2
libcdio-paranoia 10.2+0.90+1-1
libcl 1.1-3
libcroco 0.6.8-1
libcups 1.7.0-1
libdaemon 0.14-2
libdatrie 0.2.6-1
libdc1394 2.2.1-2
libdca 0.0.5-4
libdrm 2.4.47-1
libdv 1.0.0-5
libdvbpsi 1:1.1.1-1
libdvdnav 4.2.0-2
libdvdread 4.2.0-1
libebml 1.3.0-2
libedit 20130601_3.1-1
libev 4.15-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.0.13-4
libfontenc 1.1.2-1
